trial_id,participant_id,chain_id,domain,round_num,score,n_actions,chain_pos,condition
168,163,84,potions,21,100.0,3,,individual
168,163,84,potions,22,100.0,3,,individual
168,163,84,potions,23,100.0,3,,individual
168,163,84,potions,24,100.0,3,,individual
168,163,84,potions,25,100.0,3,,individual
168,163,84,potions,26,100.0,3,,individual
168,163,84,potions,27,100.0,3,,individual
168,163,84,potions,28,100.0,3,,individual
168,163,84,potions,29,100.0,3,,individual
168,163,84,potions,30,100.0,3,,individual
168,163,84,potions,31,100.0,3,,individual
168,163,84,potions,32,100.0,3,,individual
168,163,84,potions,33,100.0,3,,individual
168,163,84,potions,34,100.0,3,,individual
168,163,84,potions,35,100.0,3,,individual
168,163,84,potions,36,100.0,3,,individual
168,163,84,potions,37,100.0,3,,individual
168,163,84,potions,38,100.0,3,,individual
168,163,84,potions,39,100.0,3,,individual
168,163,84,potions,40,100.0,3,,individual
183,171,84,potions,1,30.0,4,,individual
183,171,84,potions,2,60.0,6,,individual
183,171,84,potions,3,100.0,6,,individual
183,171,84,potions,4,60.0,5,,individual
183,171,84,potions,5,100.0,6,,individual
183,171,84,potions,6,100.0,6,,individual
183,171,84,potions,7,100.0,5,,individual
183,171,84,potions,8,100.0,5,,individual
183,171,84,potions,9,100.0,5,,individual
183,171,84,potions,10,100.0,6,,individual
183,171,84,potions,11,100.0,5,,individual
183,171,84,potions,12,100.0,5,,individual
183,171,84,potions,13,100.0,5,,individual
183,171,84,potions,14,100.0,3,,individual
183,171,84,potions,15,100.0,4,,individual
183,171,84,potions,16,100.0,3,,individual
183,171,84,potions,17,100.0,4,,individual
183,171,84,potions,18,100.0,3,,individual
183,171,84,potions,19,100.0,3,,individual
183,171,84,potions,20,100.0,3,,individual
183,171,84,potions,21,100.0,3,,individual
183,171,84,potions,22,100.0,3,,individual
183,171,84,potions,23,100.0,3,,individual
183,171,84,potions,24,100.0,3,,individual
183,171,84,potions,25,100.0,3,,individual
183,171,84,potions,26,100.0,3,,individual
183,171,84,potions,27,100.0,3,,individual
183,171,84,potions,28,100.0,3,,individual
183,171,84,potions,29,100.0,3,,individual
183,171,84,potions,30,100.0,3,,individual
183,171,84,potions,31,100.0,3,,individual
183,171,84,potions,32,100.0,3,,individual
183,171,84,potions,33,100.0,3,,individual
183,171,84,potions,34,100.0,3,,individual
183,171,84,potions,35,100.0,3,,individual
183,171,84,potions,36,100.0,3,,individual
183,171,84,potions,37,100.0,3,,individual
183,171,84,potions,38,100.0,3,,individual
183,171,84,potions,39,100.0,3,,individual
183,171,84,potions,40,100.0,3,,individual
185,174,83,animals,1,10.0,9,,individual
185,174,83,animals,2,0.0,8,,individual
185,174,83,animals,3,40.0,5,,individual
185,174,83,animals,4,50.0,16,,individual
185,174,83,animals,5,35.0,11,,individual
185,174,83,animals,6,0.0,11,,individual
185,174,83,animals,7,10.0,10,,individual
185,174,83,animals,8,50.0,9,,individual
185,174,83,animals,9,50.0,7,,individual
185,174,83,animals,10,50.0,7,,individual
185,174,83,animals,11,50.0,7,,individual
185,174,83,animals,12,50.0,5,,individual
185,174,83,animals,13,0.0,6,,individual
185,174,83,animals,14,50.0,9,,individual
185,174,83,animals,15,50.0,5,,individual
185,174,83,animals,16,0.0,6,,individual
185,174,83,animals,17,55.0,7,,individual
185,174,83,animals,18,55.0,8,,individual
185,174,83,animals,19,55.0,12,,individual
185,174,83,animals,20,55.0,13,,individual
185,174,83,animals,21,50.0,7,,individual
185,174,83,animals,22,55.0,8,,individual
185,174,83,animals,23,50.0,11,,individual
185,174,83,animals,24,55.0,9,,individual
185,174,83,animals,25,50.0,9,,individual
185,174,83,animals,26,55.0,7,,individual
185,174,83,animals,27,55.0,7,,individual
185,174,83,animals,28,50.0,9,,individual
185,174,83,animals,29,50.0,8,,individual
185,174,83,animals,30,55.0,7,,individual
